"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Porto","Porto","41.1621","-8.6220","Portugal","PT","PRT","Porto","admin","1278210","1620356810"
"Lisbon","Lisbon","38.7253","-9.1500","Portugal","PT","PRT","Lisboa","primary","548703","1620619017"
"Aves","Aves","41.4400","-8.3000","Portugal","PT","PRT","Porto","","425411","1620507201"
"Sintra","Sintra","38.7992","-9.3883","Portugal","PT","PRT","Lisboa","minor","377835","1620848791"
"Vila Nova de Gaia","Vila Nova de Gaia","41.1333","-8.6167","Portugal","PT","PRT","Porto","minor","302295","1620040225"
"Cascais","Cascais","38.7000","-9.4167","Portugal","PT","PRT","Lisboa","minor","214158","1620824685"
"Loures","Loures","38.8333","-9.1667","Portugal","PT","PRT","Lisboa","minor","201632","1620042113"
"Seixal","Seixal","38.6500","-9.1000","Portugal","PT","PRT","Setúbal","minor","184269","1620870397"
"Braga","Braga","41.5503","-8.4200","Portugal","PT","PRT","Braga","admin","181494","1620949401"
"Almada","Almada","38.6803","-9.1583","Portugal","PT","PRT","Setúbal","minor","177268","1620388276"
"Matosinhos","Matosinhos","41.1833","-8.7000","Portugal","PT","PRT","Porto","minor","175478","1620049442"
"Amadora","Amadora","38.7333","-9.2333","Portugal","PT","PRT","Lisboa","minor","175136","1620896557"
"Oeiras","Oeiras","38.6833","-9.3167","Portugal","PT","PRT","Lisboa","minor","171802","1620375757"
"Gondomar","Gondomar","41.1500","-8.5333","Portugal","PT","PRT","Porto","minor","168027","1620506259"
"Guimarães","Guimaraes","41.4500","-8.3000","Portugal","PT","PRT","Braga","minor","158124","1620771539"
"Odivelas","Odivelas","38.7903","-9.1797","Portugal","PT","PRT","Lisboa","minor","144549","1620010482"
"Coimbra","Coimbra","40.2028","-8.4139","Portugal","PT","PRT","Coimbra","admin","143396","1620166724"
"Vila Franca de Xira","Vila Franca de Xira","38.9500","-8.9833","Portugal","PT","PRT","Lisboa","minor","136886","1620859041"
